T,Z,Y,X,Score,Size,Confidence
1.0,8.0,734.0,680.0,0.999992251,8.0,1.0
3.0,15.0,569.0,412.0,0.999714673,7.0,1.0
3.0,11.0,691.0,631.0,0.999402046,6.0,1.0
4.0,15.0,741.0,424.0,0.999909639,6.0,1.0
4.0,10.0,689.0,570.0,0.999671042,7.0,1.0
4.0,13.0,592.0,521.0,0.999378443,7.0,1.0
5.0,10.0,691.0,565.0,0.999975204,7.0,1.0
5.0,13.0,548.0,421.0,0.999925375,6.0,1.0
5.0,10.0,643.0,516.0,0.999878526,7.0,1.0
7.0,10.0,805.0,495.0,0.99999702,6.0,1.0
8.0,11.0,642.0,393.0,1.0,6.0,1.0
8.0,11.0,716.0,666.0,0.999987245,6.0,1.0
8.0,13.0,578.0,416.0,0.999756038,7.0,1.0
8.0,9.0,804.0,492.0,0.999525845,7.0,1.0
9.0,12.0,588.0,413.0,0.999994278,7.0,1.0
10.0,14.0,673.0,370.0,0.999999046,6.0,1.0
10.0,14.0,821.0,525.0,0.999721706,6.0,1.0
11.0,15.0,674.0,367.0,0.99995327,6.0,1.0
11.0,9.0,789.0,556.0,0.999120772,6.0,1.0
11.0,12.0,750.0,414.0,0.999038756,6.0,1.0
13.0,7.0,661.0,429.0,0.999999166,7.0,1.0
13.0,11.0,725.0,433.0,0.999883056,7.0,1.0
13.0,7.0,785.0,592.0,0.999288797,7.0,1.0
14.0,10.0,561.0,527.0,0.999997973,7.0,1.0
14.0,13.0,549.0,464.0,0.999899626,7.0,1.0
15.0,7.0,521.0,508.0,0.999901533,7.0,1.0
15.0,9.0,804.0,526.0,0.999766886,6.0,1.0
16.0,11.0,525.0,498.0,1.0,7.0,1.0
16.0,9.0,818.0,617.0,0.999999881,7.0,1.0
16.0,12.0,607.0,700.0,0.999999642,7.0,1.0
16.0,11.0,730.0,525.0,0.999977469,6.0,1.0
16.0,13.0,724.0,699.0,0.999764144,6.0,1.0
16.0,8.0,840.0,576.0,0.999355614,7.0,1.0
17.0,10.0,593.0,645.0,0.999989271,6.0,1.0
17.0,9.0,799.0,699.0,0.99998045,6.0,1.0
17.0,13.0,610.0,697.0,0.999915838,6.0,1.0
18.0,11.0,636.0,595.0,0.999988675,7.0,1.0
18.0,10.0,824.0,593.0,0.999967933,6.0,1.0
18.0,11.0,797.0,702.0,0.999951124,7.0,1.0
18.0,10.0,737.0,483.0,0.999817848,7.0,1.0
18.0,11.0,522.0,511.0,0.99976629,6.0,1.0
19.0,12.0,823.0,602.0,0.999977708,6.0,1.0
19.0,11.0,669.0,448.0,0.999659657,7.0,1.0
19.0,12.0,720.0,525.0,0.999620438,7.0,1.0
19.0,8.0,537.0,434.0,0.999366581,6.0,1.0
20.0,10.0,824.0,577.0,0.999937534,6.0,1.0
20.0,14.0,508.0,538.0,0.999918699,7.0,1.0
20.0,10.0,574.0,414.0,0.999876738,6.0,1.0
20.0,10.0,591.0,644.0,0.999821424,6.0,1.0
20.0,11.0,724.0,701.0,0.999771953,6.0,1.0
20.0,11.0,670.0,451.0,0.999636412,6.0,1.0
21.0,11.0,823.0,575.0,1.0,6.0,1.0
22.0,9.0,705.0,382.0,1.0,6.0,1.0
22.0,15.0,795.0,663.0,0.999999046,7.0,1.0
22.0,14.0,503.0,557.0,0.99996984,6.0,1.0
22.0,11.0,536.0,637.0,0.999627471,6.0,1.0
23.0,7.0,575.0,617.0,1.0,6.0,1.0
23.0,14.0,508.0,549.0,0.999998689,6.0,1.0
23.0,8.0,739.0,673.0,0.999997854,6.0,1.0
23.0,15.0,705.0,378.0,0.999898553,7.0,1.0
23.0,14.0,829.0,589.0,0.99976331,6.0,1.0
23.0,8.0,711.0,558.0,0.999393225,7.0,1.0
24.0,15.0,822.0,592.0,0.999997377,6.0,1.0
24.0,10.0,804.0,573.0,0.999837279,6.0,1.0
24.0,9.0,660.0,372.0,0.999445736,6.0,1.0
24.0,9.0,539.0,442.0,0.999255002,6.0,1.0
25.0,11.0,522.0,567.0,1.0,6.0,1.0
25.0,10.0,721.0,417.0,0.999888659,6.0,1.0
25.0,10.0,765.0,451.0,0.999125063,6.0,1.0
26.0,8.0,516.0,601.0,1.0,7.0,1.0
26.0,10.0,624.0,720.0,0.999997377,7.0,1.0
26.0,12.0,766.0,569.0,0.999919534,6.0,1.0
